Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2014-12-10,51.9,52.22,50.59,50.7,712449.0,0.0,1.0,50.58188646291,50.893759365957,49.305156766062,49.412363076485,712449.0
2014-12-11,50.95,51.58,50.86,51.0,342662.0,0.0,1.0,49.65601378199,50.270013559863,49.568299528008,49.704743923091,342662.0
2014-12-12,50.55,50.96,50.18,50.21,553250.0,0.0,1.0,49.266172653181,49.66575981021,48.905569609033,48.934807693694,553250.0
2014-12-15,50.37,51.06,50.18,50.55,1425999.0,0.0,1.0,49.090744145218,49.763220092412,48.905569609033,49.266172653181,1425999.0
2014-12-16,50.14,51.11,50.0,50.34,668708.0,0.0,1.0,48.866585496153,49.811950233513,48.73014110107,49.061506060557,668708.0
2014-12-17,50.35,51.27,50.07,51.12,689153.0,0.0,1.0,49.071252088777,49.967886685037,48.798363298611,49.821696261734,689153.0
2014-12-18,51.56,52.0,51.05,51.92,774834.0,0.0,1.0,50.250521503423,50.679346745112,49.753474064192,50.601378519351,774834.0
2014-12-19,51.94,52.41,51.65,52.15,925218.0,0.0,1.0,50.620870575791,51.078933902141,50.338235757405,50.825537168416,925218.0
2014-12-22,52.15,52.44,51.53,52.32,487861.0,0.0,1.0,50.825537168416,51.108171986802,50.221283418762,50.991219648159,487861.0
2014-12-23,52.43,52.99,52.32,52.91,501373.0,0.0,1.0,51.098425958582,51.644203538914,50.991219648159,51.566235313152,501373.0
2014-12-24,52.9,52.9,52.24,52.6,425781.0,0.0,1.0,51.556489284932,51.556489284932,50.913251422398,51.264108438325,425781.0
2014-12-26,52.68,52.87,52.4,52.5,194328.0,0.0,1.0,51.342076664087,51.527251200271,51.069187873921,51.166648156123,194328.0
2014-12-29,52.5,53.065,52.28,52.86,518641.0,0.0,1.0,51.166648156123,51.717298750565,50.952235535278,51.517505172051,518641.0
2014-12-30,52.81,53.0,52.5,52.78,432380.0,0.0,1.0,51.46877503095,51.653949567134,51.166648156123,51.439536946289,432380.0
2014-12-31,53.0,53.0,52.06,52.12,405374.0,0.0,1.0,51.653949567134,51.653949567134,50.737822914434,50.796299083755,405374.0
2015-01-02,52.39,52.485,51.09,52.1,589267.0,0.0,1.0,51.059441845701,51.152029113793,49.792458177073,50.776807027315,589267.0
2015-01-05,51.74,52.04,50.51,50.54,611851.0,0.0,1.0,50.425950011387,50.718330857993,49.227188540301,49.256426624961,611851.0
2015-01-06,50.24,50.6,48.47,49.16,1007443.0,0.0,1.0,48.964045778355,49.314902794282,47.238998783377,47.911474730572,1007443.0
2015-01-07,49.65,49.83,49.215,49.68,707519.0,0.0,1.0,48.389030113362,48.564458621326,47.965077885783,48.418268198023,707519.0
2015-01-08,49.92,50.65,49.84,50.63,407955.0,0.0,1.0,48.652172875308,49.363632935384,48.574204649546,49.344140878943,407955.0
2015-01-09,50.69,50.69,49.66,49.73,626156.0,0.0,1.0,49.402617048264,49.402617048264,48.398776141582,48.466998339124,626156.0
2015-01-12,49.74,49.82,48.84,49.08,347961.0,0.0,1.0,48.476744367344,48.554712593106,47.599601827525,47.83350650481,347961.0
2015-01-13,47.97,49.5,47.84,48.37,950585.0,0.0,1.0,46.751697372366,48.242839690059,46.624999005503,47.141538501175,950585.0
2015-01-14,47.58,47.86,46.704,47.76,1099390.0,0.0,1.0,46.371602271778,46.644491061944,45.517850199687,46.547030779742,1099390.0
2015-01-15,48.74,48.9,47.2,47.62,1932921.0,0.0,1.0,47.502141545323,47.658077996846,46.00125319941,46.410586384659,1932921.0
2015-01-16,47.65,48.61,47.65,48.4,925170.0,0.0,1.0,46.439824469319,47.37544317846,46.439824469319,47.170776585835,925170.0
2015-01-20,48.5,48.61,47.46,48.1,1114202.0,0.0,1.0,47.268236868038,47.37544317846,46.254649933135,46.878395739229,1114202.0
2015-01-21,48.1,48.97,48.06,48.84,799708.0,0.0,1.0,46.878395739229,47.726300194388,46.839411626348,47.599601827525,799708.0
2015-01-22,49.73,51.94,49.73,51.9,1503703.0,0.0,1.0,48.466998339124,50.620870575791,48.466998339124,50.58188646291,1503703.0
2015-01-23,51.48,51.69,50.86,51.21,682706.0,0.0,1.0,50.172553277661,50.377219870286,49.568299528008,49.909410515716,682706.0
2015-01-26,50.85,51.8,50.445,51.67,579702.0,0.0,1.0,49.558553499788,50.484426180708,49.163839356869,50.357727813845,579702.0
2015-01-27,51.08,52.02,50.94,51.53,784336.0,0.14,1.0,49.917965005457,50.836580649646,49.781149909515,50.357727813845,784336.0
2015-01-28,51.83,52.12,50.26,50.27,464125.0,0.0,1.0,50.650903019437,50.934305718176,49.116619443506,49.126391950359,464125.0
2015-01-29,50.25,51.45,50.21,51.32,627409.0,0.0,1.0,49.106846936653,50.279547759021,49.067756909241,50.152505169931,627409.0
2015-01-30,51.0,51.46,50.67,50.92,629650.0,0.0,1.0,49.839784950633,50.289320265874,49.517292224482,49.761604895808,629650.0
2015-02-02,50.96,52.09,50.96,52.03,671112.0,0.0,1.0,49.800694923221,50.904988197617,49.800694923221,50.846353156499,671112.0
2015-02-03,52.16,53.25,52.16,52.85,636518.0,0.0,1.0,50.973395745588,52.038598992573,50.973395745588,51.64769871845,636518.0
2015-02-04,52.82,53.27,52.53,52.53,446397.0,0.0,1.0,51.618381197891,52.058144006279,51.334978499152,51.334978499152,446397.0
2015-02-05,52.94,55.21,52.94,54.62,1989290.0,0.0,1.0,51.735651280128,53.954010335773,51.735651280128,53.377432431443,1989290.0
2015-02-06,55.38,56.85,55.0,55.23,1603089.0,0.0,1.0,54.120142952276,55.556701459676,53.748787691859,53.97355534948,1603089.0
2015-02-09,54.99,55.67,54.78,55.35,1082631.0,0.0,1.0,53.739015185006,54.403545651014,53.533792541092,54.090825431716,1082631.0
2015-02-10,55.58,55.92,55.156,55.82,917952.0,0.0,1.0,54.315593089337,54.647858322341,53.901238798767,54.55013325381,917952.0
2015-02-11,55.65,55.748,55.24,55.68,625342.0,0.0,1.0,54.384000637308,54.479771204468,53.983327856333,54.413318157867,625342.0
2015-02-12,55.98,56.88,55.69,56.79,426186.0,0.0,1.0,54.706493363459,55.586018980235,54.423090664721,55.498066418558,426186.0
2015-02-13,56.78,57.33,56.16,56.41,554347.0,0.0,1.0,55.488293911705,56.025781788623,54.882398486815,55.126711158141,554347.0
2015-02-17,56.29,56.54,55.8,56.49,572861.0,0.0,1.0,55.009441075904,55.253753747231,54.530588240104,55.204891212966,572861.0
2015-02-18,56.37,56.5,55.41,55.79,515949.0,0.0,1.0,55.087621130729,55.214663719819,54.149460472835,54.520815733251,515949.0
2015-02-19,55.68,56.12,54.89,55.89,292080.0,0.0,1.0,54.413318157867,54.843308459402,53.641290116475,54.618540801782,292080.0
2015-02-20,56.0,56.67,55.355,56.63,369894.0,0.0,1.0,54.726038377166,55.380796336321,54.095711685143,55.341706308909,369894.0
2015-02-23,56.37,56.608,55.97,56.58,460982.0,0.0,1.0,55.087621130729,55.320206793832,54.696720856606,55.292843774643,460982.0
2015-02-24,56.55,56.904,55.98,56.21,395896.0,0.0,1.0,55.263526254084,55.609472996683,54.706493363459,54.93126102108,395896.0
